"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.261657800E-2,-3.424307704E-2,-1.923040599E-1,4.307758436E-2
9.765329700E-2,-3.637307882E-2,-2.104090601E-1,3.988258541E-2
1.027177760E-1,-2.785307914E-2,-2.689840496E-1,4.094758630E-2
1.077653280E-1,-1.294307783E-2,-3.179740310E-1,3.136258572E-2
1.128558490E-1,1.966922078E-3,-3.456640542E-1,1.325758640E-2
1.178624630E-1,1.794192195E-2,-3.552490473E-1,-1.123741362E-2
1.228994940E-1,3.498192132E-2,-3.509890437E-1,-4.105741531E-2
1.279590260E-1,4.669691995E-2,-3.339490592E-1,-7.087741047E-2
1.330034530E-1,5.095691979E-2,-2.902840376E-1,-9.750241041E-2
1.380990780E-1,4.243692011E-2,-2.263840586E-1,-1.188024133E-1
1.431363690E-1,2.752692252E-2,-1.550290585E-1,-1.294524223E-1
1.481865260E-1,4.096921999E-3,-9.219405055E-2,-1.283874214E-1
1.532373070E-1,-1.933307946E-2,-5.278905481E-2,-1.241274104E-1
1.582886610E-1,-4.169807956E-2,-3.148905188E-2,-1.113474146E-1
1.633405880E-1,-5.980307981E-2,-3.255405277E-2,-9.430741519E-2
1.683731920E-1,-6.832307577E-2,-4.533405602E-2,-7.939741015E-2
1.734427240E-1,-7.364808023E-2,-5.811405182E-2,-6.661741436E-2
1.784850670E-1,-7.151807845E-2,-6.769905239E-2,-5.490241200E-2
1.835662650E-1,-6.619308144E-2,-7.302405685E-2,-4.531741515E-2
1.886146510E-1,-6.086808071E-2,-7.302405685E-2,-3.466741368E-2
1.936697030E-1,-5.554307997E-2,-7.089405507E-2,-2.721241303E-2
1.986836090E-1,-4.489307851E-2,-7.834905386E-2,-1.762741432E-2
2.037416820E-1,-3.850308061E-2,-9.645405412E-2,-1.017241366E-2
2.087931400E-1,-3.317807987E-2,-1.156240553E-1,-9.107413702E-3
2.138371510E-1,-2.998307720E-2,-1.358590573E-1,-1.123741362E-2
2.188855880E-1,-3.104807809E-2,-1.582240611E-1,-1.975741424E-2
2.239334010E-1,-3.317807987E-2,-1.827190667E-1,-3.360241279E-2
2.289886610E-1,-3.743807971E-2,-2.008240670E-1,-4.957741499E-2
2.340692340E-1,-4.276308045E-2,-2.072140574E-1,-6.768241525E-2
2.391197550E-1,-4.276308045E-2,-1.933690608E-1,-8.152741194E-2
2.441747030E-1,-4.276308045E-2,-1.667440534E-1,-9.643741697E-2
2.492261610E-1,-4.063307866E-2,-1.230790541E-1,-1.038924158E-1
2.542756920E-1,-3.211307898E-2,-7.089405507E-2,-1.017624140E-1
2.593252760E-1,-2.252807841E-2,-2.616405487E-2,-8.898241073E-2
2.643789740E-1,-7.618078031E-3,4.720944911E-3,-7.513741404E-2
2.694275150E-1,6.226921920E-3,7.915944792E-3,-5.490241200E-2
2.745328800E-1,2.007192373E-2,-4.864055198E-3,-3.466741368E-2
2.795732970E-1,2.752692252E-2,-2.616405487E-2,-1.123741362E-2
2.845523070E-1,2.859192342E-2,-4.959405214E-2,7.932586595E-3
2.896026190E-1,2.539692074E-2,-7.302405685E-2,1.538758632E-2
