"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.725423400E-2,-1.919581532E0,2.306267977E0,1.095741558E1
4.225277600E-2,-1.974678040E0,2.325432062E0,1.124487591E1
4.726933800E-2,-2.034565449E0,2.277522087E0,1.123289776E1
5.229777600E-2,-2.187877417E0,2.243984938E0,1.093346024E1
5.729631700E-2,-2.398681402E0,2.193679571E0,1.044956970E1
6.233204700E-2,-2.686141491E0,2.162538052E0,9.776433945E0
6.733058800E-2,-2.968810558E0,2.167329073E0,9.177558899E0
7.242746300E-2,-3.150868416E0,2.200865984E0,8.715227127E0
7.748376500E-2,-3.282620907E0,2.227216482E0,8.387043953E0
8.251173400E-2,-3.308971405E0,2.299081564E0,8.288828850E0
8.756803600E-2,-3.335321903E0,2.430834055E0,8.327156067E0
9.261657800E-2,-3.349694967E0,2.469161987E0,8.499632835E0
9.765329700E-2,-3.246688604E0,2.545818090E0,8.746369362E0
1.027177760E-1,-3.035884619E0,2.591332436E0,9.043411255E0
1.077653280E-1,-2.758006573E0,2.605705500E0,9.199118614E0
1.128558490E-1,-2.559180021E0,2.536236048E0,9.350034714E0
1.178624630E-1,-2.389099598E0,2.473953009E0,9.527301788E0
1.228994940E-1,-2.262137890E0,2.394901514E0,9.651867867E0
1.279590260E-1,-2.233392000E0,2.325432062E0,9.711755753E0
1.330034530E-1,-2.274115562E0,2.284708500E0,9.659054756E0
1.380990780E-1,-2.379517555E0,2.210448027E0,9.534488678E0
1.431363690E-1,-2.494501591E0,2.157747030E0,9.338057518E0
1.481865260E-1,-2.678955078E0,2.090672970E0,9.170372963E0
1.532373070E-1,-2.789148092E0,2.030785561E0,9.038619995E0
1.582886610E-1,-2.861012936E0,2.037971973E0,8.897285461E0
1.633405880E-1,-2.937669039E0,2.052345037E0,8.887703896E0
1.683731920E-1,-2.954437494E0,2.081090927E0,8.983523369E0
1.734427240E-1,-2.906527519E0,2.090672970E0,9.060179710E0
1.784850670E-1,-2.949646473E0,2.071508884E0,9.108089447E0
1.835662650E-1,-2.906527519E0,2.088277578E0,9.124857903E0
1.886146510E-1,-2.861012936E0,2.040367603E0,9.172767639E0
1.936697030E-1,-2.746028900E0,2.059531450E0,9.129649162E0
1.986836090E-1,-2.671768427E0,2.100255013E0,9.110485077E0
2.037416820E-1,-2.609485388E0,2.140978575E0,9.041015625E0
2.087931400E-1,-2.604694605E0,2.220030069E0,8.981127739E0
2.138371510E-1,-2.566366434E0,2.270335436E0,8.942799568E0
2.188855880E-1,-2.513665438E0,2.335014105E0,8.947590828E0
2.239334010E-1,-2.444195986E0,2.332618475E0,9.007478714E0
2.289886610E-1,-2.456173420E0,2.327827454E0,9.096112251E0
2.340692340E-1,-2.468151093E0,2.270335436E0,9.270983696E0
2.391197550E-1,-2.477732897E0,2.210448027E0,9.486578941E0
2.441747030E-1,-2.523247480E0,2.133791924E0,9.639890671E0
2.492261610E-1,-2.607089996E0,2.102650404E0,9.740501404E0
2.542756920E-1,-2.683746099E0,2.028389931E0,9.764456749E0
2.593252760E-1,-2.693327904E0,1.937361002E0,9.726128578E0
2.643789740E-1,-2.758006573E0,1.884660006E0,9.594375610E0
2.694275150E-1,-2.781961441E0,1.887055516E0,9.429086685E0
2.745328800E-1,-2.817893982E0,1.918197036E0,9.268588066E0
