"event","experiment time","system time","system time text"
"START",0.000000000E0,1655194213.992,"2022-06-14 10:10:13.992 UTC+02:00"
"PAUSE",1.640691433E2,1655194378.061,"2022-06-14 10:12:58.061 UTC+02:00"
