"event","experiment time","system time","system time text"
"START",0.000000000E0,1653295653.442,"2022-05-23 10:47:33.442 UTC+02:00"
"PAUSE",5.738199331E1,1653295710.824,"2022-05-23 10:48:30.824 UTC+02:00"
