"event","experiment time","system time","system time text"
"START",0.000000000E0,1653295795.750,"2022-05-23 10:49:55.750 UTC+02:00"
"PAUSE",5.345082222E1,1653295849.200,"2022-05-23 10:50:49.200 UTC+02:00"
