"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.653295654849664E9,"2022-05-23 10:47:34.850 UTC+02:00"
"PAUSE",5.859677908336744E1,1.653295713446811E9,"2022-05-23 10:48:33.447 UTC+02:00"
