"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.159521250E-1,4.071533203E-2,1.699416046E0,9.754465485E0
8.259171250E-1,3.921844482E-2,1.294957123E0,9.841734009E0
8.358831250E-1,-9.160949707E-2,1.046024780E0,9.667496338E0
8.458481252E-1,2.371069336E-1,1.836680603E0,9.745334473E0
8.558141252E-1,3.848497009E-1,1.881587219E0,9.703421631E0
8.657791251E-1,2.880010986E-1,1.535357208E0,9.167835388E0
8.757451251E-1,9.101074219E-1,1.637744293E0,9.865684204E0
8.857101251E-1,8.178991699E-1,1.582359467E0,9.530082092E0
8.956761251E-1,6.601272583E-1,1.557062073E0,9.689051514E0
9.056411250E-1,7.360194397E-1,1.529519348E0,9.875413971E0
9.156071250E-1,7.810757446E-1,1.572330322E0,9.831704865E0
9.255721250E-1,6.828799438E-1,1.652862854E0,9.789193268E0
9.355381250E-1,6.143225098E-1,1.664987640E0,9.985135803E0
9.455031250E-1,3.817062378E-1,1.694626007E0,1.002255798E1
9.554691252E-1,2.951861572E-1,1.720522156E0,9.695338440E0
9.654341252E-1,4.948709106E-1,1.670526123E0,9.786947937E0
9.754001251E-1,7.143145752E-1,1.566642151E0,9.515412598E0
9.853651251E-1,8.837622070E-1,1.576820984E0,9.429640961E0
9.953301251E-1,8.345146179E-1,1.706002350E0,9.490264893E0
1.005296125E0,5.800437927E-1,1.785487061E0,9.570947113E0
1.015261125E0,4.445755005E-1,1.779050446E0,9.597142639E0
1.025227125E0,4.080514526E-1,1.701661377E0,9.585317230E0
1.035192125E0,4.646337891E-1,1.602268066E0,9.566456451E0
1.045158125E0,4.953199768E-1,1.607806549E0,9.608968048E0
1.055123125E0,5.288502502E-1,1.678010559E0,9.598789215E0
1.065089125E0,5.667214966E-1,1.671873322E0,9.542206879E0
1.075054125E0,6.059399414E-1,1.641336823E0,9.542206879E0
1.085020125E0,5.692662048E-1,1.660946045E0,9.535919952E0
1.094985125E0,4.836442566E-1,1.722917175E0,9.505233765E0
1.104951125E0,4.396357727E-1,1.775008850E0,9.466165009E0
1.114916125E0,4.195774841E-1,1.768272858E0,9.421408081E0
