"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.427765260E-1,1.122509986E-1,-9.697490931E-2,-2.969819009E-1
4.478241300E-1,9.308099747E-2,-9.377990663E-2,-2.959169149E-1
4.528435570E-1,7.497599721E-2,-8.419490606E-2,-2.948518991E-1
4.578915260E-1,5.474099889E-2,-7.567490637E-2,-2.927218974E-1
4.629722030E-1,3.770099953E-2,-6.395991147E-2,-2.852669060E-1
4.680301200E-1,2.066100016E-2,-5.330990627E-2,-2.735519111E-1
4.730824110E-1,-6.390000344E-4,-4.265990481E-2,-2.543818951E-1
4.781309530E-1,-1.767900027E-2,-3.626990691E-2,-2.320169061E-1
4.831565780E-1,-3.471900150E-2,-3.200990707E-2,-2.021969110E-1
4.882068380E-1,-4.962899908E-2,-3.200990707E-2,-1.734419018E-1
4.932802240E-1,-6.453900039E-2,-3.626990691E-2,-1.436219066E-1
4.983092340E-1,-7.412400097E-2,-4.585490376E-2,-1.148669049E-1
5.033657970E-1,-7.838399708E-2,-5.224490538E-2,-8.930690587E-2
5.084395470E-1,-8.264400065E-2,-5.650490522E-2,-6.800691038E-2
5.134818900E-1,-8.583900332E-2,-5.863490701E-2,-5.203190446E-2
5.185269420E-1,-8.796899766E-2,-5.011490732E-2,-4.670690745E-2
5.235813170E-1,-8.690399677E-2,-3.733490407E-2,-4.883690923E-2
5.286299110E-1,-8.477400243E-2,-2.774990536E-2,-6.055190414E-2
5.336919420E-1,-7.944899797E-2,-1.603490487E-2,-7.759191096E-2
5.387389220E-1,-7.838399708E-2,-7.514906116E-3,-9.676190466E-2
5.437949110E-1,-7.731900364E-2,2.070093527E-3,-1.159319058E-1
5.488489740E-1,-7.731900364E-2,9.525093250E-3,-1.329719126E-1
5.538915780E-1,-7.731900364E-2,1.485009398E-2,-1.468169093E-1
5.589514220E-1,-7.944899797E-2,2.124009468E-2,-1.532069147E-1
5.639943900E-1,-8.796899766E-2,2.337009460E-2,-1.585319042E-1
5.690566300E-1,-9.648899734E-2,2.443509363E-2,-1.585319042E-1
5.741089740E-1,-1.060739979E-1,2.443509363E-2,-1.595969051E-1
5.791531920E-1,-1.220490038E-1,2.443509363E-2,-1.595969051E-1
5.842065780E-1,-1.412189901E-1,2.124009468E-2,-1.574669033E-1
5.892555880E-1,-1.603889912E-1,1.911009476E-2,-1.532069147E-1
5.943060050E-1,-1.742339879E-1,1.911009476E-2,-1.425569057E-1
5.993524110E-1,-1.912739873E-1,1.698009484E-2,-1.276469082E-1
6.043765780E-1,-2.029889971E-1,6.330093369E-3,-1.095419079E-1
6.094471510E-1,-2.093789876E-1,-1.070990600E-2,-8.291690797E-2
6.145045470E-1,-2.157689929E-1,-3.094490618E-2,-5.629190803E-2
6.195612650E-1,-2.200289965E-1,-4.798490554E-2,-2.647190541E-2
6.246046510E-1,-2.189639956E-1,-6.182990596E-2,3.348093713E-3
6.296485570E-1,-2.157689929E-1,-6.928490847E-2,3.423309326E-2
6.347057970E-1,-2.104439884E-1,-7.460991293E-2,6.298809499E-2
6.397689220E-1,-1.997939944E-1,-7.247991115E-2,8.641809225E-2
6.448043900E-1,-1.902089864E-1,-7.354491204E-2,1.087830886E-1
6.498625670E-1,-1.838189960E-1,-6.928490847E-2,1.247580945E-1
6.548925670E-1,-1.752989888E-1,-6.715490669E-2,1.428630948E-1
6.600080880E-1,-1.689089984E-1,-6.289491057E-2,1.609680951E-1
6.650359530E-1,-1.614539921E-1,-6.715490669E-2,1.780080944E-1
6.700712650E-1,-1.571939886E-1,-7.141491026E-2,1.886580884E-1
6.751192860E-1,-1.529339999E-1,-7.460991293E-2,1.939830929E-1
6.801743900E-1,-1.497389972E-1,-7.780490816E-2,1.939830929E-1
6.852171510E-1,-1.486739963E-1,-8.419490606E-2,1.865280867E-1
6.902782450E-1,-1.497389972E-1,-8.632490784E-2,1.737480909E-1
6.953227760E-1,-1.518689990E-1,-8.951991051E-2,1.620330960E-1
7.003805880E-1,-1.539989859E-1,-1.044299081E-1,1.545780897E-1
7.054284530E-1,-1.561289877E-1,-1.246649101E-1,1.535130888E-1
7.104815260E-1,-1.518689990E-1,-1.459649056E-1,1.641630977E-1
7.155253280E-1,-1.444139928E-1,-1.672649086E-1,1.780080944E-1
7.205767340E-1,-1.295039952E-1,-1.843049079E-1,1.961130947E-1
7.256042860E-1,-1.124640033E-1,-1.938899010E-1,2.152830958E-1
7.306895990E-1,-9.009899944E-2,-1.938899010E-1,2.323230952E-1
7.357375670E-1,-6.879900396E-2,-1.896298975E-1,2.440380901E-1
7.408035570E-1,-4.856400192E-2,-1.800449044E-1,2.546880841E-1
7.458454840E-1,-3.045899980E-2,-1.683298945E-1,2.568180859E-1
7.508964220E-1,-1.022399962E-2,-1.576799005E-1,2.578831017E-1
7.559477240E-1,8.946000598E-3,-1.374448985E-1,2.557530999E-1
7.609924110E-1,2.385599911E-2,-1.182749122E-1,2.546880841E-1
7.660396510E-1,4.089599848E-2,-1.022999063E-1,2.557530999E-1
7.710914740E-1,6.006599963E-2,-8.951991051E-2,2.578831017E-1
7.761405880E-1,7.923600078E-2,-8.951991051E-2,2.642730772E-1
7.812001720E-1,9.734100103E-2,-9.058491141E-2,2.749230862E-1
7.862478280E-1,1.122509986E-1,-8.951991051E-2,2.845080793E-1
7.913312130E-1,1.260960102E-1,-8.525990695E-2,2.887680829E-1
7.963656400E-1,1.378110051E-1,-7.780490816E-2,2.887680829E-1
