"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.322899010E-1,-2.762685120E-1,1.963711500E0,9.500951767E0
4.373579740E-1,-2.523134947E-1,1.911010504E0,9.618330956E0
4.423896930E-1,-2.379405051E-1,1.872682452E0,9.668636322E0
4.474397450E-1,-2.044035047E-1,1.836750031E0,9.747688293E0
4.524956300E-1,-2.810595036E-1,1.788840055E0,9.809970856E0
4.575521410E-1,-1.493069977E-1,1.760094047E0,1.003514767E1
4.625888070E-1,1.119150035E-2,1.779258013E0,1.021960163E1
4.676448490E-1,-1.205610037E-1,1.748116493E0,1.019085503E1
4.727052140E-1,-4.367670119E-1,1.630736947E0,1.019564629E1
4.777529220E-1,-5.757060051E-1,1.534916997E0,1.015492344E1
4.828001610E-1,-6.739215255E-1,1.494193554E0,1.005191612E1
4.878553700E-1,-7.457864881E-1,1.431910515E0,9.879440308E0
4.929065160E-1,-7.505775094E-1,1.422328472E0,9.706964493E0
4.979554220E-1,-7.505775094E-1,1.395977974E0,9.508137703E0
5.030073490E-1,-7.913010120E-1,1.352859020E0,9.335661888E0
5.080416200E-1,-8.320245147E-1,1.338485956E0,9.297333717E0
5.131079740E-1,-8.056740165E-1,1.340881467E0,9.352430344E0
5.182258910E-1,-6.978765130E-1,1.400768995E0,9.443459511E0
5.231809430E-1,-4.942589998E-1,1.451074481E0,9.613539696E0
5.282302140E-1,-2.594999969E-1,1.482216001E0,9.778829575E0
5.332720360E-1,-5.109149963E-2,1.479820490E0,9.970469475E0
5.383319320E-1,7.586999983E-2,1.393582463E0,1.017648220E1
5.433975050E-1,1.357575059E-1,1.297762513E0,1.032979488E1
5.484461510E-1,7.107900083E-2,1.237874985E0,1.041363716E1
5.534917760E-1,-4.869600013E-2,1.192360520E0,1.047831535E1
5.585410470E-1,-2.187764943E-1,1.134868503E0,1.054778481E1
5.636146930E-1,-3.217830062E-1,1.048630476E0,1.057413578E1
5.686528700E-1,-4.367670119E-1,1.007907033E0,1.048071098E1
5.736968800E-1,-6.427800059E-1,1.019884467E0,1.030344391E1
5.787407860E-1,-7.362045050E-1,1.060608029E0,1.024116135E1
5.837964640E-1,-7.386000156E-1,1.115704536E0,1.015013218E1
5.888243800E-1,-6.930854917E-1,1.180382967E0,1.004233456E1
5.939134950E-1,-6.619439721E-1,1.213919997E0,9.999215126E0
5.989585990E-1,-5.445644855E-1,1.197151542E0,9.968073845E0
6.040225570E-1,-5.206094980E-1,1.252248049E0,9.960887909E0
6.090622450E-1,-4.822815061E-1,1.264225483E0,9.903395653E0
6.141107340E-1,-4.870724976E-1,1.237874985E0,9.874649048E0
6.191631820E-1,-5.134230256E-1,1.266620994E0,9.855485916E0
6.241720890E-1,-5.589374900E-1,1.266620994E0,9.802784920E0
6.292366200E-1,-5.421689749E-1,1.285784960E0,9.793202400E0
6.342839110E-1,-5.182139874E-1,1.283389449E0,9.790806770E0
6.393392240E-1,-4.750950038E-1,1.324113011E0,9.663845062E0
6.443700050E-1,-3.840659857E-1,1.343276978E0,9.596771240E0
6.494271410E-1,-3.816705048E-1,1.355254531E0,9.512928963E0
6.544771930E-1,-3.768795133E-1,1.352859020E0,9.453041077E0
6.595635990E-1,-3.361560106E-1,1.319321990E0,9.445855141E0
6.646106300E-1,-4.247894883E-1,1.304949045E0,9.433877945E0
6.696328180E-1,-5.613330007E-1,1.278598547E0,9.467414856E0
6.746772970E-1,-6.547574997E-1,1.245061517E0,9.565629959E0
6.797608910E-1,-7.002720237E-1,1.194756031E0,9.706964493E0
