"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.373579740E-1,-4.240330756E-1,4.609450698E-4,-1.656241342E-2
4.423896930E-1,-4.304230809E-1,-6.040551234E-4,-2.508241311E-2
4.474397450E-1,-4.293580651E-1,-4.864055198E-3,-3.679741547E-2
4.524956300E-1,-4.229680896E-1,-1.657905430E-2,-4.851241410E-2
4.575521410E-1,-4.069930911E-1,-2.935905568E-2,-5.809741467E-2
4.625888070E-1,-3.793030679E-1,-3.042405657E-2,-7.407241315E-2
4.676448490E-1,-3.441580832E-1,-3.574905545E-2,-9.324241430E-2
4.727052140E-1,-3.122080863E-1,-4.107405245E-2,-1.081524119E-1
4.777529220E-1,-2.813230753E-1,-4.746405780E-2,-1.145424172E-1
4.828001610E-1,-2.600230873E-1,-5.598405749E-2,-1.102824137E-1
4.878553700E-1,-2.451130748E-1,-6.024405360E-2,-1.006974131E-1
4.929065160E-1,-2.429830730E-1,-6.450404972E-2,-8.791741729E-2
4.979554220E-1,-2.515030801E-1,-6.663405150E-2,-6.555241346E-2
5.030073490E-1,-2.653480768E-1,-7.834905386E-2,-4.212241247E-2
5.080416200E-1,-2.845180929E-1,-9.538905323E-2,-1.549741346E-2
5.131079740E-1,-3.058180809E-1,-1.124290526E-1,1.112758648E-2
5.182258910E-1,-3.196630776E-1,-1.262740642E-1,3.136258572E-2
5.231809430E-1,-3.313780725E-1,-1.326640546E-1,4.733758792E-2
5.282302140E-1,-3.377680779E-1,-1.358590573E-1,4.946758598E-2
5.332720360E-1,-3.388330936E-1,-1.294690669E-1,3.668758646E-2
5.383319320E-1,-3.356380761E-1,-1.124290526E-1,1.006258652E-2
5.433975050E-1,-3.249880672E-1,-8.686905354E-2,-2.188741416E-2
5.484461510E-1,-3.090130687E-1,-5.385405570E-2,-5.703241378E-2
5.534917760E-1,-2.909080684E-1,-2.509905584E-2,-8.365741372E-2
5.585410470E-1,-2.642830908E-1,2.590944991E-3,-9.856741130E-2
5.636146930E-1,-2.376580834E-1,3.347594291E-2,-1.006974131E-1
5.686528700E-1,-2.110330760E-1,5.903594196E-2,-9.004741162E-2
5.736968800E-1,-1.897330731E-1,8.353094757E-2,-7.513741404E-2
5.787407860E-1,-1.737580746E-1,9.737594426E-2,-5.277241394E-2
5.837964640E-1,-1.620430797E-1,1.101559475E-1,-2.934241295E-2
5.888243800E-1,-1.513930857E-1,1.122859493E-1,-1.336741354E-2
5.939134950E-1,-1.428730786E-1,1.101559475E-1,-4.847413860E-3
5.989585990E-1,-1.343530715E-1,1.027009487E-1,-6.977413781E-3
6.040225570E-1,-1.237030774E-1,8.672595024E-2,-1.869241334E-2
6.090622450E-1,-1.119880825E-1,6.755594909E-2,-3.253741562E-2
6.141107340E-1,-1.024030820E-1,4.838594794E-2,-4.212241247E-2
6.191631820E-1,-9.068807960E-2,2.176094428E-2,-4.531741515E-2
6.241720890E-1,-8.323308080E-2,-3.799055237E-3,-4.638241231E-2
6.292366200E-1,-7.471308112E-2,-3.148905188E-2,-4.425241426E-2
6.342839110E-1,-7.151807845E-2,-5.385405570E-2,-4.425241426E-2
6.393392240E-1,-7.151807845E-2,-7.195905596E-2,-4.531741515E-2
6.443700050E-1,-7.897307724E-2,-9.325905144E-2,-5.490241200E-2
6.494271410E-1,-9.281808138E-2,-1.134940535E-1,-6.661741436E-2
6.544771930E-1,-1.109230816E-1,-1.390540600E-1,-8.152741194E-2
6.595635990E-1,-1.300930828E-1,-1.624840647E-1,-9.750241041E-2
6.646106300E-1,-1.545880735E-1,-1.795240641E-1,-1.102824137E-1
6.696328180E-1,-1.769530773E-1,-1.923040599E-1,-1.166724116E-1
6.746772970E-1,-1.993180811E-1,-2.040190548E-1,-1.134774163E-1
6.797608910E-1,-2.174230814E-1,-2.167990655E-1,-1.028274149E-1
6.847883910E-1,-2.302030772E-1,-2.253190577E-1,-8.685241640E-2
6.898331300E-1,-2.355280817E-1,-2.327740639E-1,-7.513741404E-2
6.948917240E-1,-2.429830730E-1,-2.295790613E-1,-6.555241346E-2
6.999417240E-1,-2.461780757E-1,-2.136040628E-1,-5.490241200E-2
7.050166720E-1,-2.419180721E-1,-1.933690608E-1,-4.851241410E-2
7.100311510E-1,-2.387230843E-1,-1.752640605E-1,-4.425241426E-2
7.151107340E-1,-2.365930825E-1,-1.614190638E-1,-4.318741336E-2
7.201675570E-1,-2.355280817E-1,-1.507690549E-1,-5.064241216E-2
7.251951610E-1,-2.429830730E-1,-1.486390680E-1,-6.342241168E-2
