"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.045463749E-1,-6.521461744E-2,1.851320569E-1,-6.912870705E-2,2.080999831E-1
6.145083751E-1,1.341011401E-2,1.287275855E-1,-1.133137769E-1,1.720192851E-1
6.244713750E-1,3.552262446E-1,-6.337946881E-2,-4.259936339E-1,5.582770083E-1
6.344343750E-1,1.646601875E-1,-8.558295462E-2,-2.499556053E-1,3.113121007E-1
6.443973749E-1,-8.719820227E-4,6.432061471E-2,-1.553073102E-1,1.681019406E-1
6.543593749E-1,-3.214166936E-2,9.050905108E-2,-9.634515703E-2,1.360417749E-1
6.643223751E-1,1.089047204E-1,-1.055860966E-3,-9.226789355E-2,1.427400335E-1
6.742853750E-1,6.888873367E-2,-1.065562959E-1,-1.539963645E-1,1.995364180E-1
6.842473750E-1,-1.762246644E-2,-2.732111514E-4,-8.847772837E-2,9.021604283E-2
6.942103750E-1,-1.520219607E-1,1.675795926E-1,1.038886499E-1,2.489707774E-1
7.041733749E-1,-1.933069760E-1,1.881102631E-1,1.850123352E-1,3.270819809E-1
7.141353749E-1,-8.147038858E-2,1.798860081E-1,6.461173296E-2,2.077765053E-1
7.240983751E-1,-6.059875231E-2,1.989873999E-1,-6.303415418E-2,2.173510954E-1
7.340613750E-1,-1.109636712E-1,2.060881489E-1,-8.049394011E-2,2.475167385E-1
7.440233750E-1,-1.239069765E-1,2.238956980E-1,-7.578049958E-2,2.668799478E-1
7.539863749E-1,-1.429458578E-1,2.074837331E-1,-4.412425876E-2,2.557928224E-1
7.639493749E-1,-1.522791103E-1,1.724039110E-1,-5.514509082E-3,2.300922549E-1
7.739113751E-1,-1.281535899E-1,1.914013319E-1,8.667269289E-2,2.461096669E-1
7.838743750E-1,-1.082390697E-1,2.191320810E-1,2.100378335E-2,2.453074073E-1
7.938373750E-1,-1.048561997E-1,2.126072462E-1,-6.348789811E-2,2.454126666E-1
8.037993750E-1,-7.276728774E-2,2.335360024E-1,-1.072303337E-1,2.670814240E-1
8.137623749E-1,9.581019161E-3,1.962989232E-1,-6.220618844E-2,2.061423611E-1
8.237253749E-1,4.780954865E-2,8.654204417E-2,-3.744615376E-2,1.057236624E-1
8.336873751E-1,7.004430793E-2,7.934013829E-2,-1.691774905E-2,1.071786959E-1
8.436503750E-1,5.922769901E-2,1.268163500E-1,-5.680570006E-3,1.400806047E-1
8.536133750E-1,2.333974600E-2,1.300604948E-1,-3.379690647E-3,1.321813087E-1
8.635753749E-1,3.200854470E-2,1.537495023E-1,-2.677673936E-2,1.593124294E-1
8.735383749E-1,7.695209887E-3,1.695153864E-1,-8.156690419E-2,1.882759739E-1
8.835013749E-1,5.073190480E-4,1.954438045E-1,-1.482766181E-1,2.453252811E-1
8.934633750E-1,-2.813013224E-3,2.330214475E-1,-1.556920570E-1,2.802622426E-1
9.034263750E-1,-7.935302043E-3,1.752432458E-1,-5.385051727E-2,1.835021592E-1
9.133893750E-1,2.733844665E-2,1.164629045E-1,3.566801548E-2,1.248327125E-1
9.233513749E-1,6.935494862E-2,7.336044665E-2,4.158890605E-2,1.091856270E-1
9.333143749E-1,6.679927683E-2,6.818299301E-2,-2.333740711E-2,9.826341380E-2
9.432773751E-1,3.423214945E-2,1.248476290E-1,-6.504384220E-2,1.448774376E-1
9.532393750E-1,5.985082034E-3,1.824155867E-1,-3.125336766E-3,1.825405029E-1
9.632023750E-1,-1.768337798E-2,1.754786693E-1,1.540624380E-2,1.770390285E-1
9.731653749E-1,-1.631433466E-2,1.542185587E-1,-3.055930316E-2,1.580613563E-1
9.831273749E-1,1.419011431E-2,1.742963989E-1,-9.149079859E-2,1.973604830E-1
9.930903749E-1,-2.570329106E-2,2.134262949E-1,-1.049814945E-1,2.392332684E-1
1.003053375E0,-8.683677125E-2,2.554275028E-1,-6.817034841E-2,2.782643175E-1
1.013015375E0,-1.205314794E-1,2.633950284E-1,-4.946744442E-2,2.938567790E-1
1.022978375E0,-8.208120335E-2,2.437552178E-1,-4.694261670E-2,2.614527479E-1
1.032941375E0,-3.077975233E-2,2.392321772E-1,-6.793821394E-2,2.505893627E-1
1.042904375E0,-2.867146564E-2,2.687321842E-1,-7.725809097E-2,2.810833548E-1
1.052866375E0,-1.225453061E-2,2.851787573E-1,-5.887386024E-2,2.914502162E-1
1.062829375E0,-1.313893111E-2,2.942328418E-1,-2.522138000E-2,2.956039829E-1
1.072792375E0,-5.640208687E-2,2.666548877E-1,-3.783440888E-2,2.751680705E-1
1.082754375E0,-2.124355573E-2,2.621743125E-1,-5.093041778E-2,2.679189547E-1
1.092717375E0,-2.408810738E-2,2.813839509E-1,-5.028546989E-2,2.868550038E-1
1.102680375E0,-6.165365397E-2,3.205886182E-1,-3.764612854E-2,3.286266364E-1
1.112642375E0,-8.398470959E-2,3.566074301E-1,-1.088166833E-1,3.821823664E-1
1.122605375E0,-1.080525801E-1,3.353033922E-1,-9.557332456E-2,3.650177876E-1
1.132568375E0,-8.913388646E-2,2.743989584E-1,-7.658098340E-3,2.886144220E-1
1.142530375E0,-7.626937249E-2,2.108795767E-1,8.366780877E-2,2.393481048E-1
1.152493375E0,-1.024742633E-1,1.547348130E-1,1.734927356E-1,2.540542586E-1
1.162456375E0,-1.029476959E-1,1.314823732E-1,1.859706938E-1,2.499418763E-1
1.172418375E0,-7.318774366E-2,1.333501749E-1,9.432318985E-2,1.789848572E-1
1.182381375E0,-1.201336037E-2,1.515681620E-1,-6.403578222E-2,1.649782106E-1
1.192344375E0,7.099013161E-3,1.998311531E-1,-1.024519891E-1,2.246759796E-1
1.202306375E0,1.670755992E-2,2.426803168E-1,-1.693032056E-1,2.963721548E-1
1.212269375E0,6.440130629E-2,2.610049425E-1,-2.000911349E-1,3.351232169E-1
1.222232375E0,1.278120760E-1,2.493789967E-1,-2.415169036E-1,3.699408406E-1
1.232194375E0,2.053113829E-1,3.032200488E-1,-3.157268411E-1,4.835065668E-1
1.242157375E0,2.077530705E-1,4.304347403E-1,-3.616461951E-1,5.993524626E-1
1.252120375E0,9.572085712E-2,5.190749482E-1,-2.608612472E-1,5.887697977E-1
1.262082375E0,-1.270005190E-2,5.023564796E-1,-1.731003875E-1,5.314951251E-1
1.272045375E0,-1.104847477E-1,4.957331557E-1,-9.973186433E-2,5.175950984E-1
1.282008375E0,-1.814889309E-1,4.802229045E-1,4.397047698E-2,5.152530184E-1
1.291970375E0,-1.426954508E-1,4.809446337E-1,1.941012472E-1,5.379080093E-1
1.301933750E0,-3.965492120E-2,4.784932251E-1,3.375480652E-1,5.869130903E-1
