"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.517617230E-1,-2.044035047E-1,2.862024069E0,9.649472237E0
4.568235460E-1,-1.540980041E-1,2.850046396E0,9.680614471E0
4.618683370E-1,-1.612845063E-1,2.864419460E0,9.642286301E0
4.669289620E-1,-1.924259961E-1,2.814114094E0,9.606353760E0
4.719731810E-1,-2.475225031E-1,2.804532051E0,9.687800407E0
4.770256810E-1,-2.523134947E-1,2.782972574E0,9.704568863E0
4.820789100E-1,-2.594999969E-1,2.754226446E0,9.666240692E0
4.871223480E-1,-2.451270074E-1,2.737457991E0,9.644681931E0
4.921837540E-1,-2.307540029E-1,2.739853382E0,9.627913475E0
4.972352640E-1,-1.876350045E-1,2.732666969E0,9.637495041E0
5.022925560E-1,-1.732620001E-1,2.739853382E0,9.594375610E0
5.073322430E-1,-1.756574959E-1,2.756622076E0,9.637495041E0
5.123861500E-1,-1.109789982E-1,2.768599510E0,9.678218842E0
5.174428160E-1,-1.301430017E-1,2.759017467E0,9.627913475E0
5.224912540E-1,-1.493069977E-1,2.792554617E0,9.580002785E0
5.275396910E-1,-1.469115019E-1,2.768599510E0,9.515324593E0
5.325847430E-1,-1.157699972E-1,2.754226446E0,9.457832336E0
5.376353160E-1,-1.469115019E-1,2.792554617E0,9.369198799E0
5.426672430E-1,-1.421204954E-1,2.838068962E0,9.249423981E0
5.477045870E-1,-1.804485023E-1,2.871606112E0,9.167977333E0
5.527591710E-1,-2.642909884E-1,2.869210482E0,9.069761276E0
5.578042750E-1,-2.810595036E-1,2.874001503E0,9.019455910E0
5.628425040E-1,-3.696930110E-1,2.826091528E0,8.959568024E0
5.680307850E-1,-4.367670119E-1,2.809323072E0,8.978732109E0
5.729804210E-1,-5.158184767E-1,2.802136421E0,9.093716621E0
5.780150040E-1,-5.613330007E-1,2.763808489E0,9.230259895E0
5.830556290E-1,-5.948699713E-1,2.689548016E0,9.369198799E0
5.881119830E-1,-6.260114908E-1,2.658406496E0,9.457832336E0
5.931576600E-1,-6.739215255E-1,2.663197517E0,9.563234329E0
5.982021390E-1,-7.002720237E-1,2.660801888E0,9.690196037E0
6.032726600E-1,-7.625550032E-1,2.658406496E0,9.800389290E0
6.083264100E-1,-8.104649782E-1,2.653615475E0,9.788411140E0
6.133764620E-1,-8.272334933E-1,2.632055998E0,9.829134941E0
6.184222960E-1,-8.631659746E-1,2.603310108E0,9.718941689E0
6.234724000E-1,-8.559795022E-1,2.586541414E0,9.582398415E0
6.285295870E-1,-8.511884809E-1,2.569772959E0,9.524906158E0
6.335839100E-1,-7.913010120E-1,2.581750393E0,9.395549774E0
6.386228680E-1,-7.386000156E-1,2.586541414E0,9.227864265E0
6.436710460E-1,-6.978765130E-1,2.622473955E0,9.146417618E0
6.487266180E-1,-6.571530104E-1,2.660801888E0,9.055388451E0
6.537863060E-1,-5.733104944E-1,2.656011105E0,8.976337433E0
