"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.653392291237221E9,"2022-05-24 13:38:11.237 UTC+02:00"
"PAUSE",4.988661000039428E0,1.653392296225738E9,"2022-05-24 13:38:16.226 UTC+02:00"
