"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.326739740E-1,-7.745324969E-1,2.373342037E0,8.456513405E0
4.377270990E-1,-7.817190289E-1,2.346991539E0,8.525982857E0
4.427765260E-1,-7.960919738E-1,2.349386930E0,8.583475113E0
4.478241300E-1,-8.272334933E-1,2.339804888E0,8.633780479E0
4.528435570E-1,-8.511884809E-1,2.303872585E0,8.674504280E0
4.578915260E-1,-9.158669710E-1,2.251171589E0,8.712832451E0
4.629722030E-1,-1.028455496E0,2.172120094E0,8.693668365E0
4.680301200E-1,-1.160207987E0,2.097859383E0,8.679294586E0
4.730824110E-1,-1.289564967E0,2.081090927E0,8.681690216E0
4.781309530E-1,-1.349452496E0,2.059531450E0,8.681690216E0
4.831565780E-1,-1.414131045E0,2.057136059E0,8.681690216E0
4.882068380E-1,-1.423712969E0,2.109837055E0,8.715227127E0
4.932802240E-1,-1.378198504E0,2.090672970E0,8.782301903E0
4.983092340E-1,-1.320706487E0,2.045158386E0,8.813443184E0
5.033657970E-1,-1.236863971E0,2.045158386E0,8.894889832E0
5.084395470E-1,-1.164999008E0,2.078695536E0,8.981127739E0
5.134818900E-1,-1.016477942E0,2.150560617E0,9.088925362E0
5.185269420E-1,-8.511884809E-1,2.203261614E0,9.179954529E0
5.235813170E-1,-6.930854917E-1,2.251171589E0,9.251819611E0
5.286299110E-1,-5.852879882E-1,2.306267977E0,9.304520607E0
5.336919420E-1,-5.182139874E-1,2.323036432E0,9.362012863E0
5.387389220E-1,-4.679085016E-1,2.342200518E0,9.376385689E0
5.437949110E-1,-4.846769869E-1,2.313454390E0,9.381176949E0
5.488489740E-1,-5.325869918E-1,2.335014105E0,9.381176949E0
5.538915780E-1,-6.164295077E-1,2.301476955E0,9.371594429E0
5.589514220E-1,-7.050629854E-1,2.263149023E0,9.397945404E0
5.639943900E-1,-7.745324969E-1,2.222425461E0,9.409922600E0
5.690566300E-1,-7.936965227E-1,2.208052397E0,9.426691055E0
5.741089740E-1,-8.535839915E-1,2.164933443E0,9.371594429E0
5.791531920E-1,-8.990985155E-1,2.140978575E0,9.347639084E0
5.842065780E-1,-9.925230145E-1,2.078695536E0,9.347639084E0
5.892555880E-1,-1.066783547E0,2.021203518E0,9.397945404E0
5.943060050E-1,-1.157812476E0,1.973293543E0,9.383571625E0
5.993524110E-1,-1.229677558E0,1.853518486E0,9.321289062E0
6.043765780E-1,-1.308729053E0,1.772071481E0,9.347639084E0
6.094471510E-1,-1.366220951E0,1.724161506E0,9.397945404E0
6.145045470E-1,-1.366220951E0,1.659482956E0,9.421899796E0
6.195612650E-1,-1.368616462E0,1.625946045E0,9.493764877E0
6.246046510E-1,-1.347056985E0,1.647505522E0,9.556048393E0
6.296485570E-1,-1.320706487E0,1.630736947E0,9.627913475E0
6.347057970E-1,-1.258423448E0,1.647505522E0,9.718941689E0
6.397689220E-1,-1.172185540E0,1.681042552E0,9.733315468E0
6.448043900E-1,-1.112298012E0,1.707393050E0,9.778829575E0
6.498625670E-1,-1.083552003E0,1.750512004E0,9.807575226E0
6.548925670E-1,-1.035642028E0,1.791235447E0,9.788411140E0
6.600080880E-1,-1.009291530E0,1.822376966E0,9.764456749E0
6.650359530E-1,-9.182624817E-1,1.882264495E0,9.745292664E0
6.700712650E-1,-8.392109871E-1,1.973293543E0,9.714151382E0
6.751192860E-1,-7.529730201E-1,2.016412497E0,9.711755753E0
6.801743900E-1,-6.763169765E-1,2.069113493E0,9.694987297E0
6.852171510E-1,-5.972654819E-1,2.203261614E0,9.766852379E0
6.902782450E-1,-5.493555069E-1,2.248775959E0,9.757269859E0
6.953227760E-1,-5.541465282E-1,2.239193916E0,9.786016464E0
7.003805880E-1,-5.996609926E-1,2.203261614E0,9.855485916E0
7.054284530E-1,-6.308025122E-1,2.179306507E0,9.982446671E0
7.104815260E-1,-6.499664783E-1,2.176911116E0,1.003754330E1
7.155253280E-1,-6.739215255E-1,2.140978575E0,1.013815403E1
7.205767340E-1,-6.451755166E-1,2.102650404E0,1.025553417E1
7.256042860E-1,-5.948699713E-1,2.126605511E0,1.031302643E1
7.306895990E-1,-5.301914811E-1,2.093068600E0,1.043759155E1
7.357375670E-1,-4.607219994E-1,2.105046034E0,1.049987507E1
7.408035570E-1,-3.672975004E-1,2.124209881E0,1.048550224E1
7.458454840E-1,-3.026190102E-1,2.136187553E0,1.051185226E1
7.508964220E-1,-2.858504951E-1,2.167329073E0,1.050706196E1
7.559477240E-1,-3.026190102E-1,2.138582945E0,1.048071098E1
7.609924110E-1,-3.361560106E-1,2.095463991E0,1.043759155E1
7.660396510E-1,-3.960435092E-1,2.102650404E0,1.043280125E1
7.710914740E-1,-4.319759905E-1,2.052345037E0,1.041842842E1
